url,한글title,영문title,스크린뷰
https://locashop.lottecard.co.kr/display/category/,띵샵>전시>카테고리,display>category,9418
https://m.lottecard.co.kr/spa/card/card-apl/card-info,카드>신용카드-부스>카드정보,spa>card>card-apl>card-info,9369
https://m.lottecard.co.kr/spa/card/card-apl/card-phone-cert,카드>신용카드>본인확인,spa>card>card-apl>card-phone-cert,9193
https://mweb2.lottecard.co.kr/front/my/payments/regular/collection,정기결제>메인,front>my>payments>regular>collection,9135
https://mweb2.lottecard.co.kr/spa/my/usage-limit-up,MY>이용한도상향>이용한도상향,spa>my>usage-limit-up,9115
https://mweb2.lottecard.co.kr/spa/my/payment-date-change-success,MY>결제일변경>결제일변경완료,spa>my>payment-date-change-success,9027
https://mweb2.lottecard.co.kr/front/benefit/app-tech/loquiz/detail,혜택>앱태크>로퀴즈>상세,front>benefit>app-tech>loquiz>detail,9027
https://mweb2.lottecard.co.kr/spa/finance/loan-transfer-index,금융>대환대출>이용안내,spa>finance>loan-transfer-index,8978
https://mweb2.lottecard.co.kr/app/LPCSTHA_V200.lc,고객센터>재발급신청>배송지선택_알림서비스_노출,app>LPCSTHA_V200.lc,8900
https://locashop.lottecard.co.kr/event/list,띵샵>이벤트>목록,event>list,8841
https://mweb2.lottecard.co.kr/front/card/issuance/status-info,카드>카드발급상황,front>card>issuance>status-info,8831
https://m.lottecard.co.kr/spa/card/card-apl/card-income-type,카드>신용카드>소득유형,spa>card>card-apl>card-income-type,8831
https://mweb2.lottecard.co.kr/app/LPCSTFA_V200.lc,고객센터>분실신고>분실카드선택,고객센터>분실신고>분실카드선택,8724
https://m.lottecard.co.kr/front/card/issuance/,카드>카드발급내역,front>card>issuance,8714
https://mweb2.lottecard.co.kr/app/LPOPBBB_V200.lc,오픈뱅킹>계좌/카드한눈에보기(오픈뱅킹)>내계좌>입출금내역,app>LPOPBBB_V200.lc,8626
https://dars.lottecard.co.kr/app/LPMCDCB_V230.lc,DARS>MY>즉시결제>즉시결제완료,app>LPMCDCB_V230.lc,8548
https://mweb2.lottecard.co.kr/app/LPCSTHA_V300.lc,고객센터>재발급신청>재발급신청완료,app>LPCSTHA_V300.lc,8479
https://mweb2.lottecard.co.kr/app/LPBNFCA_V120.lc,혜택>TOUCH>이럴땐이혜택(전체),app>LPBNFCA_V120.lc,8460
https://mweb2.lottecard.co.kr/front/my/payments/regular/life-charge/phone,정기결제>생활요금>통신비,front>my>payments>regular>life-charge>phone,8157
https://mweb2.lottecard.co.kr/app/LPCSTFA_V300.lc,고객센터>분실신고>접수완료,app>LPCSTFA_V300.lc,8137
https://mweb2.lottecard.co.kr/front/card/basic/credit/info/lotte-members/,카드>카드안내>롯데멤버스,front>card>basic>credit>info>lotte-members,7981
https://mweb2.lottecard.co.kr/app/LPOPBBA_V101.lc,오픈뱅킹>서비스가입>오픈뱅킹필수적동의,app>LPOPBBA_V101.lc,7961
https://mweb2.lottecard.co.kr/front/my/payments/regular/life-charge/apt/apply,정기결제>생활요금>아파트>신청,front>my>payments>regular>life-charge>apt>apply,7961
https://mweb2.lottecard.co.kr/spa/my/recieve-statment-change-success,MY>명세서수령방법변경>명세서수령방법변경완료,spa>my>recieve-statment-change-success,7922
https://mweb2.lottecard.co.kr/spa/card/card-apl/card-additional-services,카드>신용카드>부가서비스신청,spa>card>card-apl>card-additional-services,7922
https://mweb2.lottecard.co.kr/spa/finance/revolving/revolving-resign,금융>일부결제금액이월약정(리볼빙)>일부결제금액이월약정>해지정보확인,spa>finance>revolving>revolving-resign,7902
https://mbt.lottecard.co.kr/app/mybus/MPMBSAA_V100.lc,모빌리티>광역버스>검색>MY버스,app>mybus>MPMBSAA_V100.lc,7853
https://locashop.lottecard.co.kr/display/category,띵샵>전시>카테고리,display>category,7844
https://m.lottecard.co.kr/front/card/basic/credit/info/card-find-tab,카드>카드안내>카드찾기,front>card>basic>credit>info>card-find-tab,7677
https://mweb2.lottecard.co.kr/front/card/basic/credit/info/sub-main,카드안내>신용카드>안내>서브메인,front>card>basic>credit>info>sub-main,7677
https://mweb2.lottecard.co.kr/native/AppCardActivity,로카페이>메인,로카페이>메인,7550
https://mweb2.lottecard.co.kr/spa/my/business-special-limit-apply,MY>업종별특별한도>업종별특별한도신청,spa>my>business-special-limit-apply,7482
https://mweb2.lottecard.co.kr/front/my/payments/weekly/history,정기결제>생활요금>위클리>이력,front>my>payments>weekly>history,7306
https://mweb2.lottecard.co.kr/spa/card/card-apl/card-application-end,카드>신용카드>신청완료,spa>card>card-apl>card-application-end,7188
https://mweb2.lottecard.co.kr/app/LPBNFBB_V101.lc,혜택>포인트전환>대상포인트/마일리지로전환,app>LPBNFBB_V101.lc,7188
https://mweb2.lottecard.co.kr/front/card/basic/credit/info/london/,카드안내>신용카드>안내>london,front>card>basic>credit>info>london,7179
https://mweb2.lottecard.co.kr/spa/finance/revolving/revolving-apply-init,금융>일부결제금액이월약정(리볼빙)>일부결제금액이월약정>약정결제비율설정,spa>finance>revolving>revolving-apply-init,7159
https://dars.lottecard.co.kr/spa/my/possession-card-inquiry,DARS>MY>보유카드조회>이용가능카드,spa>my>possession-card-inquiry,7130
https://mweb2.lottecard.co.kr/app/CertificationSettingActivity,로그인>인증서로그인>인증서설정,로그인>인증서로그인>인증서설정,7091
https://locashop.lottecard.co.kr/searchResult,띵샵>검색결과,searchResult,7071
https://mbt.lottecard.co.kr/app/mybooking/MPBOOBA_V100.lc,모빌리티>나의예약>고속.시외버스예매내역,app>mybooking>MPBOOBA_V100.lc,7042
https://mweb2.lottecard.co.kr/app/LPPAYCL_V100.lc,정기결제>안심플러스>안심플러스_미가입,app>LPPAYCL_V100.lc,7002
https://locashop.lottecard.co.kr/mypage/mobile-coupon,띵샵>마이페이지>모바일쿠폰,mypage>mobile-coupon,6905
https://mweb2.lottecard.co.kr/spa/my/noti-service/credit-care-plus,MY>알림서비스>가입전,spa>my>noti-service>credit-care-plus,6885
https://locashop.lottecard.co.kr/mypage/review,띵샵>마이페이지>리뷰,mypage>review,6758
https://dars.lottecard.co.kr/spa/my/my-info-inq,DARS>MY>내정보관리>나의정보조회(정회원),spa>my>my-info-inq,6738
https://mbt.lottecard.co.kr/app/main/MPMAICA_V100.lc,모빌리티>디지로카KTX예매,app>main>MPMAICA_V100.lc,6709
https://mweb2.lottecard.co.kr/front/benefit/app-tech/ads/finance/,혜택>앱태크>광고>금융,front>benefit>app-tech>ads>finance,6670
https://mweb2.lottecard.co.kr/spa/my/noti-setting/marketing,MY>알림설정>마케팅정보수신동의및동의철회,spa>my>noti-setting>marketing,6660
https://dars.lottecard.co.kr/app/LPARSAA_V200.lc,DARS>본인확인>단품인증,app>LPARSAA_V200.lc,6602
https://mweb2.lottecard.co.kr/spa/my/installment-payment-history,MY>분할납부(할부전환)>분할납부신청내역,spa>my>installment-payment-history,6602
https://mweb2.lottecard.co.kr/app/SimpleAuthViewController,로카페이>공통>인증>인증수단,로카페이>공통>인증>간편번호입력,6562
https://mweb2.lottecard.co.kr/app/LPBNFOA_V100.lc,혜택>친구에게카드추천,app>LPBNFOA_V100.lc,6533
https://mweb2.lottecard.co.kr/spa/my/noti-service/large-payment-noti,MY>알림서비스>이용중,spa>my>noti-service>large-payment-noti,6367
https://mweb2.lottecard.co.kr/front/benefit/forest-tour/my,혜택>로카숲투어>MY,front>benefit>forest-tour>my,6367
https://mweb2.lottecard.co.kr/app/LPBNFDA_V890.lc,제휴이벤트>하나투어,app>LPBNFDA_V890.lc,6357
https://mweb2.lottecard.co.kr/spa/card/cards/debit/catalog/card-list,카드>카드안내/신청>체크카드,spa>card>cards>debit>catalog>card-list,6298
https://mweb2.lottecard.co.kr/app/LPOPBBA_V100.lc,오픈뱅킹,app>LPOPBBA_V100.lc,6083
https://m.lottecard.co.kr/app/LPCSTAL_V100.lc,고객센터>결제승인이의제기신청,app>LPCSTAL_V100.lc,5878
https://mweb2.lottecard.co.kr/spa/local/home,로컬>내주변,spa>local>home,5848
https://m.lottecard.co.kr/spa/card/cards/credit/application/member-validation-articles,카드>신용카드>회원확인사항,spa>card>cards>credit>application>member-validation-articles,5790
https://mweb2.lottecard.co.kr/app/SettingMyCardCheckFragment,로카페이>설정>카드본인확인서비스>신청전,로카페이>설정>카드본인확인서비스>신청전,5721
https://mweb2.lottecard.co.kr/app/LPPAYCM_V100.lc,정기결제>폰케어>폰케어_미가입,app>LPPAYCM_V100.lc,5575
https://mweb2.lottecard.co.kr/front/card/issuance/card-register,카드>카드발급내역>카드등록,front>card>issuance>card-register,5565
https://mweb2.lottecard.co.kr/app/LPMBRAB_V100.lc,MEMBERS>MobileWeb로그인>로그인,app>LPMBRAB_V100.lc,5399
https://mcapp.lottecard.co.kr/app/LCACCCE_V100.lc,법인>이용내역(승인내역),app>LCACCCE_V100.lc,5232
https://mweb2.lottecard.co.kr/front/my/payments/regular/life-charge/electricity,정기결제>생활요금>전기요금,front>my>payments>regular>life-charge>electricity,5223
https://dars.lottecard.co.kr/spa/my/card-password-change,"DARS>MY>카드비밀번호등록,변경>카드비밀번호등록,변경정보입력",spa>my>card-password-change,5017
